,URL,State/Postal,Prices,Address,beds,links
17,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",195900.0," 2306 Kilbourne Ave, Columbus, OH 43229 "," 3 2 1,220 - Coming soon</li></ul>","https://www.zillow.com/homedetails/2306-Kilbourne-Ave-Columbus-OH-43229/34111582_zpid/""tabindex=""0""><addressclass=""list-card-addr"">2306KilbourneAve,Columbus,OH43229</address></a>"
18,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",292900.0," 6824 Willow Bloom Dr, Canal Winchester, OH 43110 "," 3 3 1,774 - House for sale</li></ul>","https://www.zillow.com/homedetails/6824-Willow-Bloom-Dr-Canal-Winchester-OH-43110/80910528_zpid/""tabindex=""0""><addressclass=""list-card-addr"">6824WillowBloomDr,CanalWinchester,OH43110</address></a>"
19,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",399900.0," 7991 Hightree Dr, Columbus, OH 43081 "," 4 3 2,121 - House for sale</li></ul>","https://www.zillow.com/homedetails/7991-Hightree-Dr-Columbus-OH-43081/34124892_zpid/""tabindex=""0""><addressclass=""list-card-addr"">7991HightreeDr,Columbus,OH43081</address></a>"
20,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",425000.0," 128 S Kellner Rd, Columbus, OH 43209 "," 4 3 2,180 - House for sale</li></ul>","https://www.zillow.com/homedetails/128-S-Kellner-Rd-Columbus-OH-43209/33884116_zpid/""tabindex=""0""><addressclass=""list-card-addr"">128SKellnerRd,Columbus,OH43209</address></a>"
21,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",174900.0," 1467 E Weber Rd, Columbus, OH 43211 "," 2 2 1,088 - House for sale</li></ul>","https://www.zillow.com/homedetails/1467-E-Weber-Rd-Columbus-OH-43211/33852897_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1467EWeberRd,Columbus,OH43211</address></a>"
22,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",150000.0," 1226 Smith Rd, Columbus, OH 43207 ", 4 1 936 - House for sale</li></ul>,"https://www.zillow.com/homedetails/1226-Smith-Rd-Columbus-OH-43207/33900948_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1226SmithRd,Columbus,OH43207</address></a>"
23,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",149900.0," 60 E Spring St APT 405, Columbus, OH 43215 "," 1<abbr class=""list-card-label""> <!-- -->bd</abbr></li><li class="""">1 570 - Condo for sale</li></ul>","https://www.zillow.com/homedetails/60-E-Spring-St-APT-405-Columbus-OH-43215/71975666_zpid/""tabindex=""0""><addressclass=""list-card-addr"">60ESpringStAPT405,Columbus,OH43215</address></a>"
24,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",499900.0," 271 Linda Lee Ln, Lewis Center, OH 43035 "," 4 3 2,448 - House for sale</li></ul>","https://www.zillow.com/homedetails/271-Linda-Lee-Ln-Lewis-Center-OH-43035/102317077_zpid/""tabindex=""0""><addressclass=""list-card-addr"">271LindaLeeLn,LewisCenter,OH43035</address></a>"
25,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",299000.0," 547 Morse Rd, Columbus, OH 43214 "," 3 2 1,564 - House for sale</li></ul>","https://www.zillow.com/homedetails/547-Morse-Rd-Columbus-OH-43214/33880286_zpid/""tabindex=""0""><addressclass=""list-card-addr"">547MorseRd,Columbus,OH43214</address></a>"
26,"https://www.zillow.com/homes/for_sale/Columbus, OH","Columbus, OH",299000.0," 1236 S Ohio Ave, Columbus, OH 43206 "," 4 2 1,472 - House for sale</li></ul>","https://www.zillow.com/homedetails/1236-S-Ohio-Ave-Columbus-OH-43206/33855165_zpid/""tabindex=""0""><addressclass=""list-card-addr"">1236SOhioAve,Columbus,OH43206</address></a>"
